OBJECTID,LANDMARKID,LANDMARK,CIVIC_NO,STREET,X_COORD,Y_COORD,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,HYPERLINK
1,249,FOREST HEIGHTS COMMUNITY CENTRE,1700,QUEENS BLVD,538206.2837,4808433.1305,2006-01-03,2015-06-25,COK INTERNET SITE,2014-01-14,http://www.kitchener.ca/en/livinginkitchener/ForestHeightsCommunityCentre.asp
2,248,DOON PIONEER PARK COMMUNITY CENTRE,150,PIONEER DR,545592.3042,4804763.199,2006-01-03,2015-06-25,COK INTERNET SITE,2014-01-14,http://www.kitchener.ca/en/livinginkitchener/DoonPioneerParkCommunityCentre.asp
3,927,STANLEY PARK COMMUNITY CENTRE,505,FRANKLIN ST N,544570.8736,4810728.0588,2006-01-03,2015-06-25,COK INTERNET SITE,2014-01-14,http://www.kitchener.ca/en/livinginkitchener/StanleyParkCommunityCentre.asp
4,251,VICTORIA HILLS COMMUNITY CENTRE,10,CHOPIN DR,538562.3221,4810217.8032,2006-01-03,2014-06-06,COK INTERNET SITE,2014-01-14,http://www.kitchener.ca/en/livinginkitchener/VictoriaHillsCommunityCentre.asp
5,244,CHANDLER MOWAT COMMUNITY CENTRE,222,CHANDLER DR,540465.7542,4807873.6474,2006-01-03,2014-06-06,COK INTERNET SITE,2014-01-14,http://www.kitchener.ca/en/livinginkitchener/ChandlerMowatCommunityCentre.asp
6,247,BRIDGEPORT COMMUNITY CENTRE,20,TYSON DR,542226.9351,4814551.0692,2006-01-03,2014-06-06,COK INTERNET SITE,2014-01-14,http://www.kitchener.ca/en/livinginkitchener/BridgeportCommunityCentre.asp
7,925,BREITHAUPT CENTRE,350,MARGARET AVE,540778.453,4812716.2231,2006-01-03,2014-06-06,COK INTERNET SITE,2014-01-14,http://www.kitchener.ca/en/livinginkitchener/BreithauptCentre.asp
8,5255,KINGSDALE COMMUNITY CENTRE,72,WILSON AVE,543787.3828,4808649.7981,2008-09-22,2014-06-06,COK INTERNET SITE,2014-01-14,http://www.kitchener.ca/en/livinginkitchener/KingsdaleCommunityCentre.asp
9,245,COUNTRY HILLS COMMUNITY CENTRE,100,RITTENHOUSE RD,541851.5845,4806632.3678,2006-01-03,2014-06-06,COK INTERNET SITE,2014-01-14,http://www.kitchener.ca/en/livinginkitchener/CountryHillsCommunityCentre.asp
10,5316,WILLIAMSBURG COMMUNITY CENTRE,1187,FISCHER HALLMAN RD,540348.6523,4805936.1269,2009-07-13,2014-06-06,COK INTERNET SITE,2014-01-14,http://www.kitchener.ca/en/livinginkitchener/WilliamsburgCommunityCentre.asp
11,3238,DOWNTOWN COMMUNITY CENTRE,35,WEBER ST W,541304.2876,4811153.6871,2005-07-25,2014-06-06,COK INTERNET SITE,2014-01-14,http://www.kitchener.ca/en/livinginkitchener/DowntownCommunityCentre.asp
12,250,MILL COURTLAND COMMUNITY CENTRE,216,MILL ST,541491.1014,4809621.9795,2006-01-03,2014-06-06,COK INTERNET SITE,2014-01-14,http://www.kitchener.ca/en/livinginkitchener/MillCourtlandCommunityCentre.asp
13,240,ROCKWAY CENTRE,1405,KING ST E,543152.1838,4809777.394,2006-01-03,2014-06-06,COK INTERNET SITE,2014-01-14,http://www.kitchener.ca/en/livinginkitchener/RockwayCentre.asp
14,246,CENTREVILLE CHICOPEE COMMUNITY CENTRE,141,MORGAN AVE,546154.6326,4808571.9859,2006-01-03,2014-06-09,COK INTERNET SITE,2014-01-14,http://www.kitchener.ca/en/livinginkitchener/CentrevilleChicopeeCommunityCentre.asp
