OBJECTID,LANDMARKID,LANDMARK,CATEGORY,CIVIC_NO,STREET,OWNERSHIP,X_COORD,Y_COORD,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,SHAPE.AREA,SHAPE.LEN
1,1731,GEORGE LIPPERT PARK BASKETBALL COURT,BASKETBALL COURT,200,WEBER ST W,KITCHENER,540805.3823,4811853.6451,2007-11-21,2016-02-26,2006 ORTHO,2006-03-31,668.5608815,179.049992506413
2,6836,MCLENNAN PARK BASKETBALL NET,BAKSETBALL NET,901,OTTAWA ST S,REGION,541535.4967,4807304.5027,2014-02-06,2015-09-09,ORTHO 2012,2012-04-01,34.89486295,24.7104159010556
3,7092,MONTGOMERY PARK 1/2 BASKEBALL COURT,BASKETBALL COURT,135,MONTGOMERY RD,KITCHENER,543930.9554,4809798.6191,2006-01-19,2015-09-09,ORTHO,2006-01-03,258.26718973,69.0481219379329
4,452,CHANDLER MOWAT C.C BASKETBALL COURT,BASKETBALL COURT,222,CHANDLER DR,KITCHENER,540431.045,4807941.796,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,258.50622929,69.494562863171
5,7094,SUNNYSIDE PUBLIC SCHOOL BASKEBALL COURT,BASKETBALL COURT,1042,WEBER ST E,SCHOOL BOARD,544373.6672,4809488.9751,2008-06-18,2015-09-09,ORTHO,2006-01-03,508.69530103,99.2994673445808
6,1791,TIMBERLANE PARK BASKETBALL COURT,BASKETBALL COURT,38,TIMBERLANE CRES,KITCHENER,537003.378,4807456.26,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,591.745084,105.15765974751
7,4860,CARYNDALE PARK BASKETBALL COURT 1,BASKETBALL COURT,40,CHAPEL HILL DR,KITCHENER,544451.754,4803629.228,2008-04-02,2015-09-09,2006 ORTHO,2006-03-31,200.580568,56.8761451401793
8,1643,FOREST HEIGHTS C.C.  BASKETBALL COURT,BASKETBALL COURT,1700,QUEENS BLVD,KITCHENER,538206.853,4808489.151,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,448.396053,89.1993258929013
9,1642,DOON PIONEER PARK C.C. BASKETBALL COURT,BASKETBALL COURT,150,PIONEER DR,KITCHENER,545580.377,4804759.7887,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,862.80687472,140.306936284137
10,1894,GLENDALE PARK BASKETBALL COURT,BASKETBALL COURT,130,GLEN RD,KITCHENER,540663.942,4809515.503,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,689.422986,111.50698057988
11,1668,BELMONT PARK  BASKETBALL COURT,BASKETBALL COURT,285,BELMONT AVE W,KITCHENER,539530.499,4810050.765,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,275.65071,71.5251205680678
12,1782,SANDHILLS PARK BASKETBALL COURT,BASKETBALL COURT,130,CEDAR ST S,KITCHENER,541425.185,4810273.551,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,110.18071,45.3806487553621
13,1635,BRIDGEPORT C.C.  BASKETBALL COURT,BASKETBALL COURT,20,TYSON DR,KITCHENER,542232.759,4814563.54,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1356.155976,159.180836702654
14,1798,VANIER PARK BASKETBALL COURT,BASKETBALL COURT,329,VANIER DR,KITCHENER,543819.354,4807967.685,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,662.437996,109.494495113673
15,1829,YELLOW BIRCH PARK BASKETBALL COURT,BASKETBALL COURT,135,YELLOW BIRCH DR,KITCHENER,536806.581,4806482.691,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,125.344896,45.8529513589126
16,1647,MILL COURTLAND C.C.  BASKETBALL COURT,BASKETBALL COURT,216,MILL ST,KITCHENER,541521.089,4809687.697,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,155.122292,52.8270158846837
17,6276,TREMAINE PARK BASKETBALL COURT,BASKETBALL COURT,100,TREMAINE DR,KITCHENER,547756.9351,4810042.3438,2013-04-12,2015-09-09,2012 ORTHO,2013-04-12,306.148305955,72.9492933134883
18,6014,COUNTRYSTONE PARK BASKETBALL COURT,BASKETBALL COURT,1086,COUNTRYSTONE DR,KITCHENER,536115.158,4809651.7818,2012-09-10,2015-09-09,PARK DWG,2012-09-01,197.74754851,56.3487719091758
19,6834,MCLENNAN PARK BASKETBALL COURT 1,BASKETBALL COURT,901,OTTAWA ST S,REGION,541546.8738,4807310.3235,2014-02-06,2015-09-09,ORTHO 2012,2014-04-01,354.066014145,78.4953080532697
20,6835,MCLENNAN PARK BASKETBALL COURT 2,BASKETBALL COURT,901,OTTAWA ST S,REGION,541511.8165,4807329.109,2014-02-06,2015-09-09,ORTHO 2012,2014-04-01,357.987268665,79.3497335469489
21,7095,STANLEY PARK SENIOR PUBLIC SCHOOL BASKETBALL COURT,BASKETBALL COURT,191,HICKSON DR,SCHOOL BOARD,544610.3028,4811290.0448,2008-06-18,2015-09-09,ORTHO,2006-01-03,527.836021925,99.4016092983075
22,7653,BRIGADOON PUBLIC SCHOOL HALF COURT,BASKETBALL COURT,415,CARYNDALE DR,PRIVATE,544020.6932,4803661.8554,2015-02-25,2015-09-09,ORTHO 2014,2014-04-01,28.915928925,21.6489492580735
23,5280,GUELPH PARK BASKETBALL COURT,BASKETBALL COURT,800,GUELPH ST,KITCHENER,541878.4751,4812759.8065,2008-10-23,2015-09-09,2006 ORTHO,2008-10-23,1207.63710781,139.263785921404
24,5281,WILSON PARK 1/2 BASKETBALL COURT,BASKETBALL COURT,75,WILSON AVE,KITCHENER,543930.8675,4808548.9914,2008-10-24,2015-09-09,2006 ORTHO,2008-10-23,112.094705175,42.743846672427
25,1810,WEBER PARK BASKETBALL COURT,BASKETBALL COURT,380,FREDERICK ST,KITCHENER,542530.822,4811816.648,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,837.256048,128.824682532056
26,1822,WINDALE PARK BASKETBALL COURT,BASKETBALL COURT,76,WINDALE CRES,KITCHENER,539702.372,4807606.072,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,101.794905,40.3824001764179
27,1901,CENTREVILLE CHICOPEE C.C. BASKETBALL COURT,BASKETBALL COURT,141,MORGAN AVE,KITCHENER,546128.988,4808573.283,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,514.2069,94.2779893956133
28,1640,COUNTRY HILLS C.C.  BASKETBALL COURT,BASKETBALL COURT,100,RITTENHOUSE RD,KITCHENER,541784.916,4806688.411,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,245.468434,63.7903463834118
29,1659,ADMIRAL PARK  BASKETBALL COURT,BASKETBALL COURT,93,ROXBOROUGH AVE,KITCHENER,539856.41,4809510.858,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,849.805582,129.8012547482
